"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","964","Citizen with ISEE lower than 25k tries to onboard successfully","","Wed Jul 29 09:49:47 UTC 2026","failed","Wed Jul 29 09:49:48 UTC 2026","","","",""
"","411","Citizen with mismatching email tries to onboard unsuccessfully","","Wed Jul 29 09:49:51 UTC 2026","failed","Wed Jul 29 09:49:51 UTC 2026","","","",""
"","1815","One member of a family onboards an initiative -- @1.1 Family members","","Wed Jul 29 09:49:53 UTC 2026","failed","Wed Jul 29 09:49:55 UTC 2026","","","",""
"","928","Citizen with ISEE equal or above 25k tries to onboard successfully","","Wed Jul 29 09:49:48 UTC 2026","failed","Wed Jul 29 09:49:49 UTC 2026","","","",""
"","403","A citizen who has not accepted the Terms and Conditions tries to onboard unsuccessfully","","Wed Jul 29 09:49:52 UTC 2026","failed","Wed Jul 29 09:49:52 UTC 2026","","","",""
"","412","A citizen with self-declared incorrect criteria tries to onboard unsuccessfully","","Wed Jul 29 09:49:51 UTC 2026","failed","Wed Jul 29 09:49:52 UTC 2026","","","",""
"","421","A citizen tries to onboard a nonexistent initiative","","Wed Jul 29 09:49:52 UTC 2026","failed","Wed Jul 29 09:49:53 UTC 2026","","","",""
"","405","A citizen who denied PDND consent tries to onboard unsuccessfully","","Wed Jul 29 09:49:52 UTC 2026","failed","Wed Jul 29 09:49:52 UTC 2026","","","",""
"","731","A citizen under the minimum age tries to onboard unsuccessfully","","Wed Jul 29 09:49:50 UTC 2026","failed","Wed Jul 29 09:49:51 UTC 2026","","","",""
"","708","Citizen with no declared ISEE tries to onboard successfully","","Wed Jul 29 09:49:49 UTC 2026","failed","Wed Jul 29 09:49:50 UTC 2026","","","",""
