"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","165","Citizen with mismatching email tries to onboard unsuccessfully","","Thu Jul 23 15:24:19 UTC 2026","broken","Thu Jul 23 15:24:20 UTC 2026","","","",""
"","195","A citizen who has not accepted the Terms and Conditions tries to onboard unsuccessfully","","Thu Jul 23 15:24:20 UTC 2026","broken","Thu Jul 23 15:24:20 UTC 2026","","","",""
"","18","Citizen with no declared ISEE tries to onboard successfully","","Thu Jul 23 15:24:19 UTC 2026","broken","Thu Jul 23 15:24:19 UTC 2026","","","",""
"","194","A citizen who denied PDND consent tries to onboard unsuccessfully","","Thu Jul 23 15:24:20 UTC 2026","broken","Thu Jul 23 15:24:20 UTC 2026","","","",""
"","185","Citizen with ISEE equal or above 25k tries to onboard successfully","","Thu Jul 23 15:24:19 UTC 2026","broken","Thu Jul 23 15:24:19 UTC 2026","","","",""
"","191","A citizen with self-declared incorrect criteria tries to onboard unsuccessfully","","Thu Jul 23 15:24:20 UTC 2026","broken","Thu Jul 23 15:24:20 UTC 2026","","","",""
"","13","A citizen tries to onboard a nonexistent initiative","","Thu Jul 23 15:24:20 UTC 2026","broken","Thu Jul 23 15:24:20 UTC 2026","","","",""
"","18","One member of a family onboards an initiative -- @1.1 Family members","","Thu Jul 23 15:24:20 UTC 2026","broken","Thu Jul 23 15:24:20 UTC 2026","","","",""
"","211","Citizen with ISEE lower than 25k tries to onboard successfully","","Thu Jul 23 15:24:19 UTC 2026","broken","Thu Jul 23 15:24:19 UTC 2026","","","",""
"","168","A citizen under the minimum age tries to onboard unsuccessfully","","Thu Jul 23 15:24:19 UTC 2026","broken","Thu Jul 23 15:24:19 UTC 2026","","","",""
