"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","274678","Operator downloads the generated CSV report correctly -- @1.3 ","","2026-09-17","failed","2026-09-17","","","",""
"","274453","Operator downloads the generated CSV report correctly -- @1.2 ","","2026-09-17","failed","2026-09-17","","","",""
"","1203","Operator requests the CSV report export correctly -- @1.3 ","","2026-09-17","passed","2026-09-17","","","",""
"","1203","Operator requests the USER_DETAILS CSV report export correctly -- @1.2 ","","2026-09-17","passed","2026-09-17","","","",""
"","213784","Operator downloads the generated USER_DETAILS CSV report correctly -- @1.3 ","","2026-09-17","passed","2026-09-17","","","",""
"","92419","Operator downloads the generated USER_DETAILS CSV report correctly -- @1.2 ","","2026-09-17","passed","2026-09-17","","","",""
"","367","Operator requests the CSV report export with a range exceeding the maximum allowed -- @1.1 ","","2026-09-17","passed","2026-09-17","","","",""
"","1331","Operator requests the USER_DETAILS CSV report export correctly -- @1.1 ","","2026-09-17","passed","2026-09-17","","","",""
"","274651","Operator downloads the generated CSV report correctly -- @1.1 ","","2026-09-17","failed","2026-09-17","","","",""
"","1375","Operator requests the CSV report export correctly -- @1.2 ","","2026-09-17","passed","2026-09-17","","","",""
"","376","Operator requests the CSV report export with a range exceeding the maximum allowed -- @1.2 ","","2026-09-17","passed","2026-09-17","","","",""
"","392","Operator requests the CSV report export with a range exceeding the maximum allowed -- @1.3 ","","2026-09-17","passed","2026-09-17","","","",""
"","1305","Operator requests the USER_DETAILS CSV report export correctly -- @1.3 ","","2026-09-17","passed","2026-09-17","","","",""
"","243806","Operator downloads the generated USER_DETAILS CSV report correctly -- @1.1 ","","2026-09-17","passed","2026-09-17","","","",""
"","1553","Operator requests the CSV report export correctly -- @1.1 ","","2026-09-17","passed","2026-09-17","","","",""
